customer_id,customer_name,email,phone,city,state,country,customer_segment,registration_date
CUST000001,Vivaan Mehta,vivaan.mehta3625@example.com,9863296457,Bengaluru,Maharashtra,India,ENTERPRISE,2024-12-11
CUST000002,Ananya Iyer,ananya.iyer3995@example.com,9963993529,Pune,West Bengal,India,ENTERPRISE,2025-10-16
CUST000003,Ananya Sharma,ananya.sharma4857@example.com,9815919500,Hyderabad,Delhi,India,CONSUMER,2023-10-01
CUST000004,Diya Singh,diya.singh1182@example.com,9714300755,Hyderabad,Kerala,India,SMALL_BUSINESS,2025-04-20
CUST000005,Ananya Singh,ananya.singh7095@example.com,9331070708,Pune,West Bengal,India,CONSUMER,2024-06-19
CUST000006,Meera Nair,meera.nair9938@example.com,9074364513,Jaipur,Kerala,India,ENTERPRISE,2023-03-24
CUST000007,Rahul Mehta,rahul.mehta183@example.com,9551055937,Pune,Telangana,India,SMALL_BUSINESS,2026-05-12
CUST000008,Aditya Reddy,aditya.reddy3015@example.com,9281178899,Delhi,West Bengal,India,CONSUMER,2024-06-22
CUST000009,Sneha Patel,sneha.patel4108@example.com,9074316169,Pune,Rajasthan,India,SMALL_BUSINESS,2024-10-17
CUST000010,Priya Nair,priya.nair9572@example.com,9158913776,Kochi,Gujarat,India,CONSUMER,2024-10-27
CUST000011,Kavya Gupta,kavya.gupta7584@example.com,9474160288,Hyderabad,Kerala,India,ENTERPRISE,2022-08-26
CUST000012,Isha Patel,isha.patel306@example.com,9868572028,Jaipur,Rajasthan,India,ENTERPRISE,2023-04-07
CUST000013,Rohan Singh,rohan.singh3659@example.com,9858150302,Kolkata,Tamil Nadu,India,ENTERPRISE,2023-03-13
CUST000014,Ananya Reddy,ananya.reddy2936@example.com,9558179072,Kochi,Gujarat,India,CONSUMER,2022-05-14
CUST000015,Sneha Iyer,sneha.iyer8486@example.com,9934409375,Kochi,Kerala,India,ENTERPRISE,2023-06-25
CUST000016,Karan Singh,karan.singh5986@example.com,9580292483,Delhi,Andhra Pradesh,India,CONSUMER,2026-04-09
CUST000017,Kavya Reddy,kavya.reddy7208@example.com,9106213712,Pune,Maharashtra,India,SMALL_BUSINESS,2026-01-27
